Make,OS,Screen_size,Release_year,Price
google,android,9,2010,59143
huawei,android,8,2014,30510
microsoft,windows,8,2018,41645
samsung,android,6,2014,35946
huawei,android,9,2015,50120
huawei,android,6,2015,40290
google,android,10,2010,50896
apple,ios,6,2020,52733
samsung,android,7,2016,48029
samsung,android,9,2016,77810
apple,ios,7,2012,49142
huawei,android,7,2013,31894
google,android,7,2018,51206
huawei,android,7,2018,33050
huawei,android,7,2013,27002
apple,ios,5,2015,63538
huawei,android,10,2010,41495
huawei,android,8,2015,41472
samsung,android,8,2015,53950
huawei,android,8,2015,40765
apple,ios,5,2020,55710
apple,ios,5,2013,53574
huawei,android,5,2019,44021
huawei,android,5,2020,36420
apple,ios,7,2018,54541
huawei,android,10,2019,48326
microsoft,windows,9,2010,62569
huawei,android,5,2017,40037
huawei,android,8,2013,30757
microsoft,windows,8,2014,32194
huawei,android,6,2019,39854
microsoft,windows,5,2016,43266
google,android,7,2016,43240
huawei,android,8,2012,31013
huawei,android,8,2013,30456
apple,ios,10,2018,88810
samsung,android,10,2014,54691
samsung,android,8,2020,46066
apple,ios,8,2014,44565
samsung,android,9,2012,53768
apple,ios,5,2015,66181
huawei,android,8,2016,35406
microsoft,windows,7,2018,52023
huawei,android,10,2017,59060
apple,ios,10,2010,64907
huawei,android,6,2020,33867
google,android,7,2018,48583
apple,ios,5,2015,65550
huawei,android,9,2011,51239
huawei,android,10,2013,48113
apple,ios,8,2018,52594
samsung,android,9,2011,63676
huawei,android,8,2017,39917
apple,ios,10,2011,68581
apple,ios,5,2016,67148
samsung,android,8,2020,42558
apple,ios,6,2010,52897
samsung,android,8,2019,52440
google,android,9,2018,72469
apple,ios,7,2012,48110
google,android,5,2018,54935
google,android,7,2012,32274
samsung,android,9,2014,63800
microsoft,windows,6,2020,51712
huawei,android,7,2015,36166
google,android,5,2010,32174
huawei,android,5,2012,29283
huawei,android,5,2017,41486
samsung,android,5,2016,52831
samsung,android,5,2014,41313
apple,ios,5,2011,45978
google,android,10,2012,62251
huawei,android,9,2018,51310
apple,ios,5,2014,45061
samsung,android,7,2015,52346
samsung,android,6,2012,40713
microsoft,windows,7,2014,32728
microsoft,windows,6,2015,46922
apple,ios,10,2017,88360
apple,ios,10,2012,66890
huawei,android,9,2019,57398
apple,ios,8,2011,53202
google,android,5,2016,42207
huawei,android,8,2012,33570
huawei,android,8,2017,34672
apple,ios,6,2011,39740
apple,ios,7,2015,54917
huawei,android,8,2011,28680
apple,ios,7,2018,48962
samsung,android,7,2017,41750
microsoft,windows,5,2018,54437
google,android,8,2010,34546
apple,ios,8,2017,54086
apple,ios,8,2012,47444
huawei,android,7,2016,39922
huawei,android,9,2019,50492
huawei,android,5,2016,40430
huawei,android,10,2015,51461
google,android,9,2018,62110
google,android,9,2020,80280
samsung,android,5,2013,39978
microsoft,windows,10,2010,50204
google,android,7,2012,41212
apple,ios,10,2017,90703
samsung,android,9,2010,55150
samsung,android,6,2020,50270
samsung,android,8,2015,49409
samsung,android,7,2019,41114
huawei,android,6,2010,31874
huawei,android,10,2016,59218
huawei,android,8,2017,34300
apple,ios,6,2010,39284
huawei,android,10,2013,48430
samsung,android,10,2016,76367
huawei,android,8,2011,31950
microsoft,windows,9,2018,62051
google,android,5,2017,44009
huawei,android,10,2016,62238
samsung,android,6,2012,37738
google,android,8,2017,51824
apple,ios,8,2014,48394
google,android,10,2013,49112
apple,ios,7,2012,48375
samsung,android,6,2015,43225
apple,ios,5,2011,44658
apple,ios,9,2017,98396
huawei,android,9,2015,50002
microsoft,windows,6,2011,35871
apple,ios,10,2017,93475
microsoft,windows,10,2010,61034
microsoft,windows,7,2020,53571
apple,ios,10,2016,89940
huawei,android,10,2011,41916
samsung,android,5,2020,55683
microsoft,windows,10,2014,56826
samsung,android,10,2011,59698
samsung,android,9,2018,75301
huawei,android,9,2013,52883
google,android,5,2016,42710
google,android,9,2019,62592
huawei,android,9,2018,53267
huawei,android,6,2018,38047
huawei,android,8,2011,27774
apple,ios,8,2012,40011
google,android,10,2010,59388
samsung,android,8,2019,47106
google,android,7,2013,37686
huawei,android,9,2020,58163
huawei,android,9,2014,42032
huawei,android,10,2019,66384
huawei,android,7,2018,34849
google,android,6,2020,43616
huawei,android,8,2011,27833
huawei,android,7,2011,29018
samsung,android,9,2019,64537
huawei,android,9,2019,57394
huawei,android,10,2018,60943
google,android,8,2017,55176
apple,ios,10,2015,100345
apple,ios,9,2010,70033
huawei,android,5,2018,35528
apple,ios,10,2010,78816
apple,ios,6,2019,58882
huawei,android,7,2011,29158
samsung,android,6,2019,45603
samsung,android,7,2014,38193
google,android,8,2019,41085
microsoft,windows,8,2012,36886
samsung,android,10,2014,58843
huawei,android,5,2010,35360
huawei,android,10,2015,58686
huawei,android,9,2010,45862
apple,ios,9,2020,81382
google,android,5,2017,52360
google,android,6,2012,37656
huawei,android,10,2018,61620
apple,ios,5,2015,64012
microsoft,windows,8,2016,43360
apple,ios,6,2020,59262
huawei,android,5,2011,33619
apple,ios,7,2017,60720
huawei,android,6,2019,37350
huawei,android,5,2012,34926
apple,ios,6,2016,59024
microsoft,windows,5,2013,35063
google,android,6,2014,44246
google,android,5,2020,51466
apple,ios,9,2016,100327
apple,ios,6,2016,60960
huawei,android,9,2016,51703
apple,ios,9,2018,86436
samsung,android,9,2016,64494
samsung,android,7,2015,51012
apple,ios,6,2014,41192
apple,ios,9,2013,62819
microsoft,windows,9,2012,50566
samsung,android,9,2019,74512
google,android,10,2011,62806
samsung,android,9,2016,80377
google,android,9,2018,72146
microsoft,windows,5,2010,35594
samsung,android,5,2018,45580
google,android,5,2018,54784
apple,ios,8,2017,60530
huawei,android,6,2016,42058
apple,ios,10,2019,92832
microsoft,windows,10,2015,61030
apple,ios,9,2014,70878
huawei,android,7,2016,34514
google,android,6,2014,39508
apple,ios,6,2010,45763
huawei,android,8,2018,44210
samsung,android,5,2017,53505
huawei,android,9,2020,52076
samsung,android,10,2013,51302
huawei,android,10,2020,62804
samsung,android,7,2011,37717
apple,ios,6,2017,50390
huawei,android,7,2013,34870
apple,ios,6,2018,66524
google,android,9,2011,56282
samsung,android,9,2017,67607
google,android,7,2015,46802
apple,ios,7,2014,45778
google,android,10,2016,79667
apple,ios,7,2013,38745
samsung,android,9,2012,48194
huawei,android,5,2014,27142
apple,ios,6,2013,52401
huawei,android,9,2013,45802
google,android,8,2015,48120
apple,ios,10,2018,84941
huawei,android,6,2016,39021
samsung,android,8,2017,44980
huawei,android,5,2010,32226
huawei,android,10,2015,52885
huawei,android,7,2017,32514
google,android,5,2016,45154
huawei,android,5,2013,28750
google,android,6,2012,33529
huawei,android,10,2013,52342
huawei,android,8,2015,34187
microsoft,windows,7,2020,44772
apple,ios,10,2014,69031
google,android,7,2020,49701
microsoft,windows,6,2018,47435
microsoft,windows,6,2012,44718
huawei,android,5,2015,44222
apple,ios,9,2010,60953
huawei,android,5,2018,38005
google,android,7,2014,36843
huawei,android,5,2019,42474
samsung,android,9,2020,62894
huawei,android,10,2010,41311
google,android,9,2011,57235
huawei,android,7,2012,35499
apple,ios,5,2012,52263
apple,ios,10,2011,72727
huawei,android,8,2014,30110
google,android,6,2020,48962
huawei,android,8,2012,28798
microsoft,windows,5,2014,37762
google,android,8,2016,47187
huawei,android,7,2011,26714
apple,ios,8,2013,51062
microsoft,windows,6,2015,55378
huawei,android,9,2011,47460
huawei,android,8,2012,26174
huawei,android,9,2012,40500
huawei,android,5,2020,41170
apple,ios,10,2014,77868
huawei,android,9,2015,62014
apple,ios,9,2012,58055
microsoft,windows,7,2019,43632
google,android,5,2013,36444
google,android,8,2010,34249
google,android,9,2010,58668
huawei,android,5,2012,30473
apple,ios,8,2016,53074
microsoft,windows,8,2019,52658
apple,ios,8,2017,63081
apple,ios,7,2020,58987
huawei,android,9,2011,51833
apple,ios,5,2012,50654
huawei,android,9,2014,41424
huawei,android,10,2016,58241
microsoft,windows,9,2019,65206
google,android,5,2014,38662
apple,ios,7,2010,46765
huawei,android,9,2019,49067
huawei,android,7,2013,30562
huawei,android,6,2012,29642
microsoft,windows,7,2017,42782
samsung,android,9,2011,48864
apple,ios,7,2011,41602
huawei,android,8,2011,31390
huawei,android,9,2017,58848
huawei,android,9,2017,53479
samsung,android,10,2019,64297
apple,ios,7,2011,52299
samsung,android,6,2016,47559
google,android,8,2011,38187
google,android,6,2016,55807
huawei,android,7,2015,42474
samsung,android,6,2018,42034
google,android,5,2019,48872
huawei,android,7,2015,34360
huawei,android,9,2016,59054
apple,ios,6,2018,64824
samsung,android,6,2015,41147
google,android,7,2018,53926
apple,ios,9,2011,60281
apple,ios,10,2020,91826
huawei,android,9,2011,52686
apple,ios,9,2017,78672
huawei,android,9,2020,57458
samsung,android,6,2013,32550
samsung,android,6,2015,48218
microsoft,windows,8,2013,38837
samsung,android,9,2020,74652
apple,ios,7,2014,49856
samsung,android,8,2015,45807
huawei,android,6,2015,35066
apple,ios,6,2014,38702
google,android,6,2014,32894
samsung,android,8,2016,50850
huawei,android,5,2013,32730
apple,ios,9,2016,95543
samsung,android,8,2011,40728
google,android,9,2017,76273
huawei,android,6,2020,41498
google,android,5,2020,46788
apple,ios,9,2013,78022
apple,ios,6,2018,49967
google,android,5,2018,52143
huawei,android,5,2015,34242
samsung,android,6,2017,49295
google,android,9,2014,57028
apple,ios,6,2018,57193
samsung,android,9,2020,74234
huawei,android,8,2015,33132
samsung,android,5,2017,47004
huawei,android,5,2014,29851
microsoft,windows,9,2017,74016
samsung,android,6,2011,44706
microsoft,windows,10,2014,59784
samsung,android,7,2015,52754
google,android,10,2016,77756
microsoft,windows,6,2010,41947
huawei,android,6,2018,35659
apple,ios,10,2010,79861
google,android,9,2020,60913
huawei,android,10,2013,51713
google,android,6,2014,44506
microsoft,windows,9,2019,68322
huawei,android,5,2018,42978
huawei,android,10,2016,64889
huawei,android,5,2019,44058
samsung,android,7,2016,47175
huawei,android,5,2011,31170
huawei,android,7,2018,44025
google,android,7,2013,34230
apple,ios,7,2012,47770
huawei,android,9,2010,48048
huawei,android,5,2016,41841
huawei,android,9,2018,57173
google,android,8,2011,35946
apple,ios,10,2016,78028
huawei,android,9,2012,49673
apple,ios,5,2011,53046
apple,ios,10,2014,73970
apple,ios,7,2019,66154
huawei,android,9,2014,52513
huawei,android,5,2020,44262
huawei,android,8,2010,34642
google,android,8,2013,35452
huawei,android,6,2017,35363
huawei,android,9,2011,48523
samsung,android,5,2011,33267
google,android,6,2010,37212
samsung,android,8,2016,42069
huawei,android,6,2014,32474
samsung,android,9,2012,62298
samsung,android,10,2015,77950
huawei,android,5,2010,29396
huawei,android,10,2019,55206
huawei,android,7,2020,40753
samsung,android,6,2010,40786
samsung,android,5,2014,39794
google,android,5,2015,51716
huawei,android,10,2013,45056
google,android,10,2019,62879
apple,ios,6,2014,46560
google,android,6,2018,45782
apple,ios,5,2010,45544
huawei,android,5,2020,32358
huawei,android,10,2015,56479
apple,ios,7,2012,50882
samsung,android,7,2011,35386
samsung,android,9,2010,57224
google,android,5,2015,55856
samsung,android,8,2017,42530
apple,ios,8,2016,61445
apple,ios,6,2013,42829
google,android,5,2015,47421
google,android,10,2011,56768
huawei,android,6,2017,36312
google,android,10,2014,55639
microsoft,windows,5,2014,43175
huawei,android,10,2013,41266
huawei,android,9,2013,47360
apple,ios,10,2011,71810
apple,ios,5,2015,51163
apple,ios,6,2014,44761
apple,ios,5,2012,39294
huawei,android,6,2018,44300
google,android,5,2013,42077
google,android,9,2020,63952
huawei,android,6,2010,30674
huawei,android,8,2013,28546
huawei,android,8,2013,27130
google,android,5,2017,43098
huawei,android,6,2013,28734
google,android,6,2017,44256
microsoft,windows,9,2019,67344
google,android,10,2012,54487
samsung,android,7,2014,35821
huawei,android,7,2013,29339
huawei,android,6,2015,37883
google,android,9,2013,66216
samsung,android,8,2011,40083
huawei,android,5,2016,40014
google,android,7,2019,45651
microsoft,windows,6,2013,32241
microsoft,windows,6,2018,48874
microsoft,windows,6,2010,37259
apple,ios,7,2019,62590
google,android,5,2013,41735
apple,ios,5,2012,43267
apple,ios,8,2011,47898
apple,ios,7,2012,42448
huawei,android,8,2016,43967
huawei,android,10,2016,51502
huawei,android,10,2010,51604
huawei,android,7,2016,43486
huawei,android,7,2018,39846
huawei,android,9,2013,50018
google,android,9,2012,58820
samsung,android,9,2012,56023
huawei,android,7,2018,36611
samsung,android,7,2020,42481
samsung,android,9,2011,49409
apple,ios,9,2019,85441
google,android,6,2018,47992
apple,ios,10,2015,88350
huawei,android,7,2015,40206
microsoft,windows,10,2020,68305
google,android,8,2012,32421
apple,ios,8,2015,57514
google,android,5,2017,53822
samsung,android,8,2019,47084
samsung,android,10,2017,61765
samsung,android,7,2015,47434
samsung,android,10,2018,82268
google,android,8,2011,35992
apple,ios,10,2011,60607
samsung,android,10,2011,66792
microsoft,windows,8,2020,48342
samsung,android,8,2014,44751
apple,ios,9,2018,99418
huawei,android,10,2019,54312
google,android,6,2012,44772
apple,ios,5,2018,56363
apple,ios,6,2015,57142
apple,ios,5,2011,50246
microsoft,windows,6,2020,49408
apple,ios,5,2018,61314
samsung,android,9,2020,83275
apple,ios,10,2020,87137
apple,ios,6,2019,61453
apple,ios,5,2017,48195
samsung,android,8,2010,32204
apple,ios,7,2011,38889
samsung,android,8,2010,36901
samsung,android,10,2017,71244
microsoft,windows,8,2012,43930
google,android,6,2016,55378
apple,ios,8,2018,54320
huawei,android,10,2014,50828
samsung,android,7,2010,33377
apple,ios,7,2016,53739
apple,ios,7,2012,49261
samsung,android,10,2012,61654
apple,ios,10,2018,74513
samsung,android,6,2016,55743
samsung,android,5,2012,37414
huawei,android,7,2017,35595
samsung,android,8,2019,53695
huawei,android,8,2014,33768
huawei,android,9,2012,53075
samsung,android,9,2019,74857
huawei,android,5,2011,32629
microsoft,windows,9,2016,63941
apple,ios,9,2010,79198
samsung,android,6,2012,32576
google,android,7,2019,54670
samsung,android,5,2017,50087
apple,ios,10,2016,93547
samsung,android,8,2019,40732
google,android,9,2018,61190
apple,ios,7,2012,49833
google,android,9,2014,52843
microsoft,windows,5,2020,51184
microsoft,windows,10,2014,58399
apple,ios,10,2011,64111
google,android,5,2015,47288
google,android,9,2019,66256
google,android,5,2019,54474
huawei,android,6,2011,25811
google,android,8,2018,40353
apple,ios,5,2011,46885
samsung,android,5,2016,42417
huawei,android,5,2010,35334
apple,ios,6,2017,65919
apple,ios,10,2015,76782
google,android,5,2019,41414
apple,ios,5,2012,52729
huawei,android,7,2010,32266
samsung,android,6,2018,42652
huawei,android,9,2014,47714
samsung,android,9,2020,67564
apple,ios,8,2010,44738
google,android,10,2020,82674
apple,ios,7,2019,64809
google,android,5,2010,41387
huawei,android,10,2011,43444
microsoft,windows,8,2012,43775
huawei,android,8,2018,39813
apple,ios,8,2017,56970
microsoft,windows,5,2011,38868
samsung,android,6,2014,37337
microsoft,windows,10,2015,64660
apple,ios,9,2014,68192
huawei,android,7,2016,40226
google,android,5,2020,45410
apple,ios,6,2020,53453
google,android,9,2010,59815
google,android,9,2010,64813
huawei,android,5,2020,43156
apple,ios,7,2019,61878
google,android,10,2010,54797
apple,ios,10,2011,68099
samsung,android,7,2012,44450
huawei,android,9,2011,40934
huawei,android,6,2010,35297
huawei,android,6,2020,43110
google,android,7,2016,41158
apple,ios,7,2012,50660
huawei,android,8,2011,33261
google,android,6,2011,40823
huawei,android,10,2010,46163
microsoft,windows,9,2015,74776
google,android,5,2017,40482
apple,ios,7,2020,59475
microsoft,windows,10,2015,79376
google,android,8,2012,32948
microsoft,windows,7,2011,33641
huawei,android,10,2020,51036
huawei,android,7,2020,32300
huawei,android,7,2017,41803
microsoft,windows,8,2013,35350
apple,ios,7,2011,39398
huawei,android,6,2018,38504
apple,ios,10,2014,77378
google,android,9,2014,66437
samsung,android,6,2010,37694
samsung,android,9,2015,83100
apple,ios,8,2019,48116
google,android,5,2020,53539
samsung,android,8,2010,37167
microsoft,windows,8,2016,45425
huawei,android,9,2012,45586
huawei,android,10,2014,43135
samsung,android,5,2010,39045
apple,ios,9,2018,85015
huawei,android,6,2014,29048
google,android,9,2010,55379
huawei,android,9,2018,57026
huawei,android,10,2017,50084
google,android,10,2018,76954
google,android,9,2018,72844
apple,ios,6,2019,54250
huawei,android,6,2018,34626
huawei,android,10,2015,63348
huawei,android,7,2016,38181
samsung,android,5,2020,46558
apple,ios,7,2012,46715
samsung,android,7,2018,53566
microsoft,windows,10,2010,57204
apple,ios,9,2020,79445
samsung,android,9,2017,78160
samsung,android,10,2012,62849
samsung,android,7,2012,35520
huawei,android,5,2013,35513
huawei,android,9,2014,51233
samsung,android,5,2012,39909
huawei,android,6,2019,42638
huawei,android,9,2018,64232
huawei,android,10,2016,52182
google,android,10,2020,78678
samsung,android,8,2020,53892
samsung,android,8,2012,35500
google,android,9,2017,76751
huawei,android,10,2012,46141
huawei,android,6,2020,34386
huawei,android,8,2011,31762
huawei,android,8,2014,30618
apple,ios,8,2011,47491
huawei,android,5,2017,39055
microsoft,windows,8,2011,36683
huawei,android,10,2015,62634
huawei,android,9,2019,49858
samsung,android,9,2013,54334
samsung,android,10,2015,63899
huawei,android,5,2012,31170
samsung,android,8,2013,43714
google,android,6,2015,51614
huawei,android,8,2010,34582
huawei,android,5,2020,34486
google,android,10,2010,60625
google,android,8,2016,46039
samsung,android,8,2011,33726
apple,ios,7,2017,58768
microsoft,windows,8,2017,40966
microsoft,windows,5,2018,44251
apple,ios,8,2012,48335
samsung,android,7,2018,40173
google,android,7,2014,36037
huawei,android,10,2010,45809
google,android,6,2016,52787
apple,ios,9,2014,67375
samsung,android,10,2010,62270
google,android,9,2016,79331
apple,ios,9,2016,81298
apple,ios,5,2013,40918
microsoft,windows,9,2016,64890
google,android,6,2015,53279
microsoft,windows,10,2017,68291
huawei,android,10,2015,58888
huawei,android,5,2016,35854
apple,ios,8,2017,48254
huawei,android,5,2017,39484
samsung,android,5,2018,41633
huawei,android,10,2019,57082
apple,ios,10,2017,84034
huawei,android,5,2013,28738
apple,ios,7,2011,53741
microsoft,windows,5,2019,52465
microsoft,windows,9,2012,50981
apple,ios,8,2019,65672
apple,ios,10,2016,97442
samsung,android,6,2016,44158
huawei,android,8,2017,38424
microsoft,windows,10,2016,71930
google,android,10,2010,60539
google,android,8,2017,47906
huawei,android,5,2018,32860
microsoft,windows,5,2013,34195
microsoft,windows,6,2013,42293
microsoft,windows,9,2015,77891
huawei,android,8,2010,35025
huawei,android,10,2020,60107
samsung,android,9,2016,80704
apple,ios,7,2013,39124
google,android,5,2015,44218
apple,ios,8,2014,49408
microsoft,windows,6,2012,32535
huawei,android,9,2019,65957
apple,ios,9,2013,69338
huawei,android,7,2016,43378
huawei,android,7,2010,26672
huawei,android,7,2013,27301
apple,ios,10,2012,64716
huawei,android,6,2020,33318
huawei,android,6,2010,28783
samsung,android,7,2017,41970
samsung,android,9,2014,52248
huawei,android,9,2019,53196
huawei,android,9,2012,43760
huawei,android,8,2012,27321
huawei,android,9,2015,54355
huawei,android,5,2013,34618
huawei,android,10,2018,53825
samsung,android,6,2010,35777
apple,ios,5,2013,46549
huawei,android,5,2019,40975
google,android,8,2010,36176
huawei,android,8,2014,32687
huawei,android,8,2017,43111
huawei,android,7,2011,34683
apple,ios,7,2010,50782
microsoft,windows,6,2018,42987
huawei,android,8,2017,36798
huawei,android,5,2015,36706
google,android,7,2011,40365
google,android,7,2012,35729
apple,ios,10,2014,74706
samsung,android,10,2014,58050
samsung,android,6,2011,40072
huawei,android,10,2020,57968
apple,ios,10,2020,98237
huawei,android,6,2011,33720
apple,ios,8,2011,49463
google,android,10,2011,63180
huawei,android,8,2012,27906
google,android,8,2019,55382
microsoft,windows,9,2010,56824
huawei,android,9,2014,53190
huawei,android,6,2015,36054
google,android,7,2019,41369
microsoft,windows,7,2017,46851
microsoft,windows,7,2010,32565
samsung,android,5,2011,44209
microsoft,windows,10,2020,68272
apple,ios,8,2017,55027
microsoft,windows,7,2016,50354
samsung,android,10,2015,73480
huawei,android,5,2013,31595
microsoft,windows,8,2011,39346
google,android,8,2010,39376
apple,ios,7,2019,60040
apple,ios,7,2018,60911
apple,ios,5,2018,50912
google,android,6,2011,44174
apple,ios,8,2017,63576
google,android,5,2018,44622
microsoft,windows,6,2020,47898
huawei,android,7,2014,28194
samsung,android,7,2019,48063
apple,ios,8,2017,51456
huawei,android,7,2013,32478
samsung,android,9,2019,66974
google,android,9,2016,75671
huawei,android,8,2016,44008
google,android,5,2015,52050
huawei,android,5,2017,34191
google,android,8,2018,45715
samsung,android,10,2011,66150
microsoft,windows,5,2019,54467
huawei,android,7,2019,35885
huawei,android,9,2014,50657
huawei,android,8,2017,42693
apple,ios,6,2019,65562
samsung,android,10,2012,48439
samsung,android,5,2017,41998
apple,ios,9,2019,86983
huawei,android,8,2012,35578
google,android,8,2010,41051
samsung,android,10,2013,51228
apple,ios,8,2011,46150
google,android,5,2016,44983
huawei,android,5,2012,25839
google,android,7,2012,43019
apple,ios,8,2014,40477
samsung,android,9,2011,63358
huawei,android,7,2020,32405
huawei,android,10,2019,65981
samsung,android,10,2012,59702
apple,ios,6,2019,64640
microsoft,windows,7,2011,43508
microsoft,windows,10,2019,67798
google,android,10,2013,56820
google,android,5,2015,49153
google,android,7,2017,47762
huawei,android,9,2020,53526
apple,ios,5,2016,48600
huawei,android,10,2018,54401
google,android,7,2013,32710
huawei,android,5,2018,32923
huawei,android,5,2018,41694
google,android,6,2014,32806
apple,ios,5,2012,44253
google,android,5,2015,53910
huawei,android,5,2018,43513
huawei,android,6,2013,35077
huawei,android,6,2020,42886
google,android,7,2011,44565
apple,ios,9,2017,90037
huawei,android,7,2018,40888
huawei,android,8,2011,35147
google,android,8,2015,49092
google,android,9,2011,65159
apple,ios,6,2011,48363
huawei,android,6,2012,27689
apple,ios,10,2020,81456
samsung,android,6,2018,52141
samsung,android,5,2015,50868
apple,ios,10,2010,65305
apple,ios,8,2019,59458
samsung,android,9,2018,71867
apple,ios,9,2019,79540
google,android,7,2017,52462
samsung,android,5,2016,51785
apple,ios,8,2013,40863
microsoft,windows,7,2016,47630
apple,ios,8,2010,41894
samsung,android,8,2020,47794
huawei,android,8,2014,31738
huawei,android,8,2011,26491
microsoft,windows,9,2013,55933
huawei,android,9,2016,58411
huawei,android,6,2010,28766
huawei,android,6,2018,38273
samsung,android,6,2011,37328
apple,ios,9,2019,93008
huawei,android,5,2016,42850
samsung,android,5,2017,42790
huawei,android,10,2010,47962
google,android,10,2011,62116
